name,Tel,region,address,class,longitude,latitude,name_pinyin,address_pinyin,region_pinyin
中青旅遨游网,89192059,望京,望京湖光中街一号LOFTEL大厦首层,Travel Agency,116.46682,39.99751,zhong qing lv ao you wang,wang jing hu guang zhong jie yi hao L O F T E L da sha shou ceng,wang jing
中国康辉Travel Agency,83988398,西单,华远北街2号通港大厦1楼,Travel Agency,116.372643,39.913525,zhong guo kang hui T r a v e l   A g e n c y,hua yuan bei jie 2 hao tong gang da sha 1 lou,xi dan
中青旅遨游网,89192098,西直门/动物园,交大东路钻河中心2号楼1层122室,Travel Agency,116.350658,39.944538,zhong qing lv ao you wang,jiao da dong lu zuan he zhong xin 2 hao lou 1 ceng 122 shi,xi zhi men / dong wu yuan
中国康辉Travel Agency,63108885,宣武门,宣武门外大街8号庄胜崇光百货6层西,Travel Agency,116.375389,39.89629,zhong guo kang hui T r a v e l   A g e n c y,xuan wu men wai da jie 8 hao zhuang sheng chong guang bai huo 6 ceng xi,xuan wu men
中国国际Travel Agency,4000079065,雍和宫/地坛,建外大街28号,Travel Agency,116.42083,39.948772,zhong guo guo ji T r a v e l   A g e n c y,jian wai da jie 28 hao,yong he gong / di tan
中国铁道Travel Agency,69448699,顺义城区,新顺南大街9号,Travel Agency,116.650848,40.127342,zhong guo tie dao T r a v e l   A g e n c y,xin shun nan da jie 9 hao,shun yi cheng qu
金帆水上运动俱乐部,,后海/什刹海,德胜门内大街105号西南40米西北方向150米,Water Park,116.380836,39.943825,jin fan shui shang yun dong ju le bu,de sheng men nei da jie 105 hao xi nan 40 mi xi bei fang xiang 150 mi,hou hai / shi cha hai
燕山公园,69341357,房山区,迎风中路14号,Park/Square,115.957008,39.726963,yan shan gong yuan,ying feng zhong lu 14 hao,fang shan qu
乔波室内滑雪场,60413499,马坡牛栏山镇,顺安路6号,Ski Resort,116.661389,40.199979,qiao bo shi nei hua xue chang,shun an lu 6 hao,ma po niu lan shan zhen
北京金隅凤山温泉度假村,60711188;60713942,昌平镇,南邵镇蟒山路10号（近水库路）,Hot Spring,116.284482,40.249643,bei jing jin yu feng shan wen quan du jia cun,nan shao zhen mang shan lu 10 hao （ jin shui ku lu ）,chang ping zhen
北京欢乐谷,67389898;67383333-8004,北京欢乐谷,南磨房地区东四环小武基北路,Theme Park,116.494705,39.867229,bei jing huan le gu,nan mo fang di qu dong si huan xiao wu ji bei lu,bei jing huan le gu
天池乐活汤泉,69332332;69331586,燕山,向阳街道高家坡路11号,Hot Spring,115.946014,39.730549,tian chi le huo tang quan,xiang yang jie dao gao jia po lu 11 hao,yan shan
北宫国家森林公园,83840830,丰台区,大灰厂东路55号,Forest Park,116.117752,39.866119,bei gong guo jia sen lin gong yuan,da hui chang dong lu 55 hao,feng tai qu
中国美术馆,64006326;64011816,王府井/东单,五四大街1号,Art Gallery,116.408951,39.925079,zhong guo mei zhu guan,wu si da jie 1 hao,wang fu jing / dong dan
圣恩禅寺,60725927,昌平区,崔村镇香堂文化新村10区,Religion,116.364662,40.252185,sheng en shan si,cui cun zhen xiang tang wen hua xin cun 10 qu,chang ping qu
川谷度假村,136****6834,神堂峪,栖镇神堂峪南不夜谷门口,Other Attractions/Side Trip,116.64679,40.413948,chuan gu du jia cun,qi zhen shen tang yu nan bu ye gu men kou,shen tang yu
银锭桥三号,,后海/什刹海,后海银锭桥胡同3号(银锭桥南5米),Natural Scenery,116.393394,39.938801,yin ding qiao san hao,hou hai yin ding qiao hu tong 3 hao ( yin ding qiao nan 5 mi ),hou hai / shi cha hai
北京展览馆,57960055;57960023,西直门/动物园,西直门外大街135号(近地铁西直门站),Exhibition Centre,116.344131,39.940483,bei jing zhan lan guan,xi zhi men wai da jie 135 hao ( jin di tie xi zhi men zhan ),xi zhi men / dong wu yuan
宋庄画家村画廊,69598343;186****8869,宋庄,宋庄镇任庄村北1号,Art Gallery,116.749985,39.951881,song zhuang hua jia cun hua lang,song zhuang zhen ren zhuang cun bei 1 hao,song zhuang
天安门广场,63095745,天安门广场,东长安街与广场东侧路交叉口西南角,Square,116.397552,39.903568,tian an men guang chang,dong chang an jie yu guang chang dong ce lu jiao cha kou xi nan jiao,tian an men guang chang
北京前门大栅栏,63109680,前门/大栅栏,大栅栏街6号（近前门地铁站I口、前门大街）,Leisure Block,116.397041,39.896202,bei jing qian men da zha lan,da zha lan jie 6 hao （ jin qian men di tie zhan I kou 、 qian men da jie ）,qian men / da zha lan
南宫旅游景区,83316030;83313778,南宫,王佐镇南宫南路1号,Other Attractions/Side Trip,116.152122,39.794563,nan gong lv you jing qu,wang zuo zhen nan gong nan lu 1 hao,nan gong
北京渔阳国际滑雪场,69908282;185****8666,平谷区,大旺务村688号,Ski Resort,117.147703,40.077147,bei jing yu yang guo ji hua xue chang,da wang wu cun 688 hao,ping gu qu
阳光星期八公园,68242059,五棵松,金沟河路26号,City Park,116.254463,39.916153,yang guang xing qi ba gong yuan,jin gou he lu 26 hao,wu ke song
天鹅国旅,,劲松/潘家园,农光南里1号龙辉大厦内（近劲松洋华堂）,Travel Agency,116.461662,39.880554,tian e guo lv,nong guang nan li 1 hao long hui da sha nei （ jin jing song yang hua tang ）,jing song / pan jia yuan
北京电影旅游城,82043638,牡丹园/北太平庄,北三环中路77号,Film Base,116.357796,39.968636,bei jing dian ying lv you cheng,bei san huan zhong lu 77 hao,mu dan yuan / bei tai ping zhuang
白草畔自然风景区,60369037;60369038,霞云岭国家森林公园,108国道四马台村,Natural Scenery,115.612893,39.784564,bai cao pan zi ran feng jing qu,108 guo dao si ma tai cun,xia yun ling guo jia sen lin gong yuan
爨底下村,69818988,爨底下村,斋堂镇109国道爨柏景区内,Acient Town,115.646083,39.99561,cuan di xia cun,zhai tang zhen 109 guo dao cuan bai jing qu nei,cuan di xia cun
玲珑公园,88131225,航天桥,八里庄北里3号（慈寿寺地铁站C2东南口步行280米）,City Park,116.295227,39.929131,ling long gong yuan,ba li zhuang bei li 3 hao （ ci shou si di tie zhan C 2 dong nan kou bu xing 280 mi ）,hang tian qiao
北京上方山国家森林公园,61315542;61315543,上方山国家森林公园,046县道上方山国家森林公园,Forest Park,115.826675,39.67403,bei jing shang fang shan guo jia sen lin gong yuan,046 xian dao shang fang shan guo jia sen lin gong yuan,shang fang shan guo jia sen lin gong yuan
南新仓文化休闲街,64010849,东四,东四十条22号(近东门仓胡同),Leisure Block,116.43116,39.932449,nan xin cang wen hua xiu xian jie,dong si shi tiao 22 hao ( jin dong men cang hu tong ),dong si
海淀公园,62850569,苏州桥,海淀公园路与铜牛路交叉口东南角,City Park,116.295269,39.987077,hai dian gong yuan,hai dian gong yuan lu yu tong niu lu jiao cha kou dong nan jiao,su zhou qiao
钟楼,84027869;84027870,地安门,钟楼湾胡同临字9号,Historical Building,116.395859,39.942432,zhong lou,zhong lou wan hu tong lin zi 9 hao,di an men
神舟国旅,84716758,望京,阜安西路望京西园三区316号楼2楼（近阜通西大街）,Travel Agency,116.474899,39.998138,shen zhou guo lv,fu an xi lu wang jing xi yuan san qu 316 hao lou 2 lou （ jin fu tong xi da jie ）,wang jing
老北京微缩景园,69771805,南口镇,南口地区南辛路,Film Base,116.165848,40.252934,lao bei jing wei suo jing yuan,nan kou di qu nan xin lu,nan kou zhen
中国铁道博物馆,64381317;64381517,金盏,酒仙桥北路1号院北侧,Museum,116.516345,39.997657,zhong guo tie dao bo wu guan,jiu xian qiao bei lu 1 hao yuan bei ce,jin zhan
皇城根遗址公园,,王府井/东单,北河沿大街与五四大街交叉口南100米路东,Acient Ruins,116.406563,39.92252,huang cheng gen yi zhi gong yuan,bei he yan da jie yu wu si da jie jiao cha kou nan 100 mi lu dong,wang fu jing / dong dan
东方阁美术馆,84211186,和平里/国展中心,和平里东街与民旺北胡同交叉口西南100米,Art Gallery,116.424843,39.952553,dong fang ge mei zhu guan,he ping li dong jie yu min wang bei hu tong jiao cha kou xi nan 100 mi,he ping li / guo zhan zhong xin
北京画院美术馆,65025171,朝阳公园/团结湖,朝阳公园南路12号,Art Gallery,116.473091,39.93306,bei jing hua yuan mei zhu guan,zhao yang gong yuan nan lu 12 hao,zhao yang gong yuan / tuan jie hu
至高美术馆,82560366;133****5688,苏州桥,长春桥路5号新起点家园-5,Art Gallery,116.303871,39.960697,zhi gao mei zhu guan,chang chun qiao lu 5 hao xin qi dian jia yuan - 5,su zhou qiao
中国国家画院美术馆,68411369,紫竹桥,西三环北路54号,Art Gallery,116.310638,39.938038,zhong guo guo jia hua yuan mei zhu guan,xi san huan bei lu 54 hao,zi zhu qiao
凯旋画廊,57623012,798/大山子,酒仙桥路798艺术区2号院A05,Art Gallery,116.492661,39.986382,kai xuan hua lang,jiu xian qiao lu 798 yi zhu qu 2 hao yuan A 05,798 / da shan zi
偏锋画廊,59789562,798/大山子,酒仙桥路2号北京798艺术区2号路B11号,Art Gallery,116.498039,39.986431,pian feng hua lang,jiu xian qiao lu 2 hao bei jing 798 yi zhu qu 2 hao lu B 11 hao,798 / da shan zi
美嘉环球Travel Agency,64949979,亚运村,亚运村大屯路169号3楼,Travel Agency,116.377853,40.002393,mei jia huan qiu T r a v e l   A g e n c y,ya yun cun da tun lu 169 hao 3 lou,ya yun cun
昌平公园,,昌平镇,鼓楼南街28号,City Park,116.237106,40.218147,chang ping gong yuan,gu lou nan jie 28 hao,chang ping zhen
双龙峡,69819310;69819988,爨底下村,斋堂镇火村,Natural Scenery,115.71759,39.950989,shuang long xia,zhai tang zhen huo cun,cuan di xia cun
北京灵水举人村,69812890,门头沟区,斋堂镇灵水村,Acient Town,115.731773,40.004105,bei jing ling shui ju ren cun,zhai tang zhen ling shui cun,men tou gou qu
北京世界花卉大观园,87500840;87503548,草桥/公益西桥,南四环中路235号,Botanical Garden,116.351964,39.836211,bei jing shi jie hua hui da guan yuan,nan si huan zhong lu 235 hao,cao qiao / gong yi xi qiao
北京自来水博物馆,64650787,东直门,东直门外香河园街3号,Museum,116.437408,39.946014,bei jing zi lai shui bo wu guan,dong zhi men wai xiang he yuan jie 3 hao,dong zhi men
南锣鼓巷,139****2634;155****6033,安定门,南锣鼓巷与地安门东大街交叉口北侧,Leisure Block,116.402405,39.937176,nan luo gu xiang,nan luo gu xiang yu di an men dong da jie jiao cha kou bei ce,an ding men
烟袋斜街,64001606,地安门,地安门外大街50号,Leisure Block,116.394745,39.939323,yan dai xie jie,di an men wai da jie 50 hao,di an men
保利艺术博物馆,65008117,东直门,朝阳门北大街1号新保利大厦云楼9层（近地铁二号线东四十条站D口）,Museum,116.432709,39.932621,bao li yi zhu bo wu guan,zhao yang men bei da jie 1 hao xin bao li da sha yun lou 9 ceng （ jin di tie er hao xian dong si shi tiao zhan D kou ）,dong zhi men
中国国旅,4006008888,王府井/东单,东单北大街1号国旅大厦,Travel Agency,116.417191,39.915283,zhong guo guo lv,dong dan bei da jie 1 hao guo lv da sha,wang fu jing / dong dan
什刹海冰场,66125717,后海/什刹海,前海南沿5号,City Park,116.38781,39.940479,shi cha hai bing chang,qian hai nan yan 5 hao,hou hai / shi cha hai
昌平区博物馆,69741095,昌平镇,府学路10号昌平区图书馆2层,Museum,116.255165,40.220995,chang ping qu bo wu guan,fu xue lu 10 hao chang ping qu tu shu guan 2 ceng,chang ping zhen
碧水风荷公园,,清河,小营桥西侧（近小营环岛）,City Park,116.338539,40.039829,bi shui feng he gong yuan,xiao ying qiao xi ce （ jin xiao ying huan dao ）,qing he
蟠龙山长城,81052790,古北口,古北口村（近古御道）,Historical Building,117.167191,40.685432,pan long shan chang cheng,gu bei kou cun （ jin gu yu dao ）,gu bei kou
京东大溶洞,60971708,平谷区,黄松峪乡黑豆峪村,Natural Scenery,117.254676,40.211954,jing dong da rong dong,huang song yu xiang hei dou yu cun,ping gu qu
物华艺术馆,64668215,亮马桥/三元桥,霞光里6号,Art Gallery,116.458523,39.958807,wu hua yi zhu guan,xia guang li 6 hao,liang ma qiao / san yuan qiao
索尼探梦,65018800,朝阳公园/团结湖,朝阳公园南路1号朝阳公园内（南侧）,Science Museum,116.481499,39.937363,suo ni tan meng,zhao yang gong yuan nan lu 1 hao zhao yang gong yuan nei （ nan ce ）,zhao yang gong yuan / tuan jie hu
劳动人民文化宫,65116776,王府井/东单,东长安街天安门东侧,Human Heritage,116.400002,39.910767,lao dong ren min wen hua gong,dong chang an jie tian an men dong ce,wang fu jing / dong dan
康庄公园,69250081,黄村,滨河东里东,City Park,116.342239,39.755596,kang zhuang gong yuan,bin he dong li dong,huang cun
钓鱼台银杏大道,,航天桥,三里河路与月坛南街交叉口西北角,Pedestrian Zone,116.334297,39.918346,diao yu tai yin xing da dao,san li he lu yu yue tan nan jie jiao cha kou xi bei jiao,hang tian qiao
基督教会崇文门教堂,65133549;65242193,崇文门,后沟胡同丁2号,Other Attractions/Side Trip,116.420456,39.902912,ji du jiao hui chong wen men jiao tang,hou gou hu tong ding 2 hao,chong wen men
中旅假日Travel Agency,65032344,朝阳门,朝阳门南大街18号,Travel Agency,116.436333,39.917454,zhong lv jia ri T r a v e l   A g e n c y,zhao yang men nan da jie 18 hao,zhao yang men
铁路祥和Travel Agency,63215855,首都博物馆/莲花池东路,复兴路6号（军事博物馆地铁站C1东南口步行390米）,Travel Agency,116.328559,39.906697,tie lu xiang he T r a v e l   A g e n c y,fu xing lu 6 hao （ jun shi bo wu guan di tie zhan C 1 dong nan kou bu xing 390 mi ）,shou du bo wu guan / lian hua chi dong lu
好园,65121342,王府井/东单,史家胡同53号（灯市口地铁站A西北口步行260米）,Other Attractions/Side Trip,116.419434,39.918686,hao yuan,shi jia hu tong 53 hao （ deng shi kou di tie zhan A xi bei kou bu xing 260 mi ）,wang fu jing / dong dan
红螺湖鸟岛,60681238,红螺寺,红螺寺路与中刘路交叉口东北角,Natural Scenery,116.625854,40.361614,hong luo hu niao dao,hong luo si lu yu zhong liu lu jiao cha kou dong bei jiao,hong luo si
先农坛,,前门/天坛,东经路21号,Historical Building,116.391411,39.877125,xian nong tan,dong jing lu 21 hao,qian men / tian tan
玉渡山自然风景区,69190280,玉渡山风景区,玉海路北1号,Natural Scenery,115.899048,40.531639,yu du shan zi ran feng jing qu,yu hai lu bei 1 hao,yu du shan feng jing qu
普度寺,85112897,王府井/东单,南池子大街与普渡寺前巷交叉口东100米,Religion,116.404739,39.913441,pu du si,nan chi zi da jie yu pu du si qian xiang jiao cha kou dong 100 mi,wang fu jing / dong dan
回龙观体育文化公园,,回龙观,回龙观东大街与文华路交叉口,Cultural Park,116.342135,40.077913,hui long guan ti yu wen hua gong yuan,hui long guan dong da jie yu wen hua lu jiao cha kou,hui long guan
中国国际Travel Agency总社,138****8345,亦庄,荣华中路7号院4号楼1层1084室,Travel Agency,116.501274,39.801743,zhong guo guo ji T r a v e l   A g e n c y zong she,rong hua zhong lu 7 hao yuan 4 hao lou 1 ceng 1084 shi,yi zhuang
常营公园,,常营,幺家店路与民族家园中路交叉口北侧,City Park,116.58136,39.935905,chang ying gong yuan,yao jia dian lu yu min zu jia yuan zhong lu jiao cha kou bei ce,chang ying
李四光纪念馆,88815625,魏公村,民族大学南路11号(近中国地质科学院地质力学研究所),Memorial Hall,116.31675,39.946312,li si guang ji nian guan,min zu da xue nan lu 11 hao ( jin zhong guo di zhi ke xue yuan di zhi li xue yan jiu suo ),wei gong cun
前门大街,65253176,前门/大栅栏,小江胡同1号,Leisure Block,116.397842,39.895168,qian men da jie,xiao jiang hu tong 1 hao,qian men / da zha lan
天毓山庄,69306878;69306678,房山区,周口店镇辛庄民族村,Other Attractions/Side Trip,115.937775,39.666206,tian yu shan zhuang,zhou kou dian zhen xin zhuang min zu cun,fang shan qu
什刹海火神庙,64008882,地安门,地安门外大街77号（8号线什刹海站南50米）,Religion,116.395607,39.937141,shi cha hai huo shen miao,di an men wai da jie 77 hao （ 8 hao xian shi cha hai zhan nan 50 mi ）,di an men
通教寺,64055918,东直门,东直门内北小街针线胡同19号,Religion,116.426292,39.944149,tong jiao si,dong zhi men nei bei xiao jie zhen xian hu tong 19 hao,dong zhi men
南官房胡同39号四合院,66572057,地安门,南官房胡同39号,Historical Building,116.390411,39.937096,nan guan fang hu tong 3 9 hao si he yuan,nan guan fang hu tong 39 hao,di an men
长陵,60761008;60762279,明十三陵,怀长路明十三陵长陵景区,Acient Ruins,116.24955,40.30061,chang ling,huai chang lu ming shi san ling chang ling jing qu,ming shi san ling
辽金城垣博物馆,63054992,北京南站/开阳里,右安门外玉林小区甲40号,Museum,116.358833,39.862724,liao jin cheng yuan bo wu guan,you an men wai yu lin xiao qu jia 40 hao,bei jing nan zhan / kai yang li
八奇洞景区,60863056;60863057,潭柘寺,潭柘寺镇八奇洞景区,Natural Scenery,116.029793,39.894547,ba qi dong jing qu,tan zhe si zhen ba qi dong jing qu,tan zhe si
人民英雄纪念碑,,天安门广场,天安门广场,Revolutionary Site,116.39769,39.904633,ren min ying xiong ji nian bei,tian an men guang chang,tian an men guang chang
白河堡水库,60162064,百里画廊,香营乡,Modern Building,116.172952,40.645951,bai he bao shui ku,xiang ying xiang,bai li hua lang
中国国际Travel Agency,66035933;66011122,复兴门,复兴门内大街99号,Travel Agency,116.358936,39.90803,zhong guo guo ji T r a v e l   A g e n c y,fu xing men nei da jie 99 hao,fu xing men
中国国际Travel Agency,85999369,大望路,光华路与郎家园路交叉口西北方向50米左右,Travel Agency,116.473419,39.913742,zhong guo guo ji T r a v e l   A g e n c y,guang hua lu yu lang jia yuan lu jiao cha kou xi bei fang xiang 50 mi zuo you,da wang lu
中国国旅,64733371,望京,中环南路9号望京大厦A座1层,Travel Agency,116.470212,39.985932,zhong guo guo lv,zhong huan nan lu 9 hao wang jing da sha A zuo 1 ceng,wang jing
中国国旅,82255712,牡丹园/北太平庄,北太平庄路18号城建大厦B座303室,Travel Agency,116.3712,39.968644,zhong guo guo lv,bei tai ping zhuang lu 18 hao cheng jian da sha B zuo 303 shi,mu dan yuan / bei tai ping zhuang
中国国际Travel Agency,82382290,五道口,花园路街道北四环学院桥东北角处,Travel Agency,116.348143,39.986334,zhong guo guo ji T r a v e l   A g e n c y,hua yuan lu jie dao bei si huan xue yuan qiao dong bei jiao chu,wu dao kou
中国国际Travel Agency,85253171,悠唐生活广场,朝外大街19号华普国际大厦16层东区,Travel Agency,116.43885,39.924931,zhong guo guo ji T r a v e l   A g e n c y,zhao wai da jie 19 hao hua pu guo ji da sha 16 ceng dong qu,you tang sheng huo guang chang
中国国际Travel Agency,64174272,东直门,东直门外东中街甲2号,Travel Agency,116.446171,39.944311,zhong guo guo ji T r a v e l   A g e n c y,dong zhi men wai dong zhong jie jia 2 hao,dong zhi men
中国国际Travel Agency,65123075,王府井/东单,灯市口大街57号院4,Travel Agency,116.41304,39.91897,zhong guo guo ji T r a v e l   A g e n c y,deng shi kou da jie 57 hao yuan 4,wang fu jing / dong dan
上地公园,82785522,上地,信息路上地3街环岛西南角（近上地环岛）,City Park,116.310349,40.035088,shang di gong yuan,xin xi lu shang di 3 jie huan dao xi nan jiao （ jin shang di huan dao ）,shang di
王府井Pedestrian Zone,,王府井/东单,东长安街与王府井大街交叉口北500米路东,Leisure Block,116.412407,39.913399,wang fu jing P e d e s t r i a n   Z o n e,dong chang an jie yu wang fu jing da jie jiao cha kou bei 500 mi lu dong,wang fu jing / dong dan
朝阳文化馆,85993958,建外大街,朝阳门外小庄金台路17号,Exhibition Centre,116.470268,39.91695,zhao yang wen hua guan,zhao yang men wai xiao zhuang jin tai lu 17 hao,jian wai da jie
王府井天主教堂,65240634,王府井/东单,王府井大街74号教堂（教堂附属楼）,Religion,116.412086,39.91737,wang fu jing tian zhu jiao tang,wang fu jing da jie 74 hao jiao tang （ jiao tang fu shu lou ）,wang fu jing / dong dan
梨园主题公园,,梨园,八通线临河里地铁站旁（近加州小镇）,City Park,116.678238,39.874187,li yuan zhu ti gong yuan,ba tong xian lin he li di tie zhan pang （ jin jia zhou xiao zhen ）,li yuan
清河燕清体育文化公园,62936340,清河,毛纺路26号,City Park,116.338989,40.034489,qing he yan qing ti yu wen hua gong yuan,mao fang lu 26 hao,qing he
德宝温泉会议中心,69375447;69375500,良乡,良乡多宝路1号,Hot Spring,116.149666,39.737099,de bao wen quan hui yi zhong xin,liang xiang duo bao lu 1 hao,liang xiang
西黄寺博物馆,58350902;58334652,德外大街,安贞街道德胜门外黄寺大街11号,Museum,116.390434,39.964764,xi huang si bo wu guan,an zhen jie dao de sheng men wai huang si da jie 11 hao,de wai da jie
圣泉山旅游风景区,60637288,红螺寺,桥梓镇口头村（京承高速）,Religion,116.578578,40.369313,sheng quan shan lv you feng jing qu,qiao zi zhen kou tou cun （ jing cheng gao su ）,hong luo si
灵慧山景区,89601286,红螺寺,西甘路甘涧峪村,Natural Scenery,116.582375,40.398983,ling hui shan jing qu,xi gan lu gan jian yu cun,hong luo si
和平国际Travel Agency,56024063,和平里/国展中心,东土城路13号金孔雀商务大厦二层,Travel Agency,116.431816,39.950733,he ping guo ji T r a v e l   A g e n c y,dong tu cheng lu 13 hao jin kong que shang wu da sha er ceng,he ping li / guo zhan zhong xin
花市清真寺,67167531,崇文门,西花市大街80号,Religion,116.423561,39.896828,hua shi qing zhen si,xi hua shi da jie 80 hao,chong wen men
北京穆斯林大厦,65126550,王府井/东单,王府井大街241号,Modern Building,116.410767,39.914715,bei jing mu si lin da sha,wang fu jing da jie 241 hao,wang fu jing / dong dan
九天普化宫,,朝外大街,朝外大街百脑汇后,Human Heritage,116.444901,39.92403,jiu tian pu hua gong,zhao wai da jie bai nao hui hou,zhao wai da jie
国际企业文化园,,亦庄,亦庄开发区五环文化园西路6号院,City Park,116.486336,39.808495,guo ji qi ye wen hua yuan,yi zhuang kai fa qu wu huan wen hua yuan xi lu 6 hao yuan,yi zhuang
基督教堂海淀堂,62562975,中关村,海淀西大街39号（近理想国际大厦）,Religion,116.30761,39.983253,ji du jiao tang hai dian tang,hai dian xi da jie 39 hao （ jin li xiang guo ji da sha ）,zhong guan cun
后海,64070792,后海/什刹海,什刹海街道鼓楼西大街,Natural Scenery,116.385497,39.942347,hou hai,shi cha hai jie dao gu lou xi da jie,hou hai / shi cha hai
安贞社区街心公园,,安贞,北三环中路安贞西里小区内,City Park,116.398758,39.972347,an zhen she qu jie xin gong yuan,bei san huan zhong lu an zhen xi li xiao qu nei,an zhen
红军公园,85383072,朝阳区,大鲁店北路萧太后河公园,Park/Square,116.582211,39.845048,hong jun gong yuan,da lu dian bei lu xiao tai hou he gong yuan,zhao yang qu
世界地热博览园,83318032;83318649,云岗,王佐镇南宫南路1号,Botanical Garden,116.152229,39.79463,shi jie di re bo lan yuan,wang zuo zhen nan gong nan lu 1 hao,yun gang
法海寺森林公园,68875776;88715776,模式口,翠微山南麓模式口28号,Forest Park,116.160414,39.940572,fa hai si sen lin gong yuan,cui wei shan nan lu mo shi kou 28 hao,mo shi kou
密云全民体育健身园,69040992,密云鼓楼,滨河路与光明街交叉口西南140米,City Park,116.837288,40.372044,mi yun quan min ti yu jian shen yuan,bin he lu yu guang ming jie jiao cha kou xi nan 140 mi,mi yun gu lou
东交民巷天主堂,65135170,崇文门,东交民巷甲13号,Religion,116.412094,39.902924,dong jiao min xiang tian zhu tang,dong jiao min xiang jia 13 hao,chong wen men
大通旅游,22198888,怀柔区,多家营业网点,Travel Agency,116.586861,40.632389,da tong lv you,duo jia ying ye wang dian,huai rou qu
宛平城Pedestrian Zone,,卢沟桥,城内街与东关南街交口宛平城Pedestrian Zone,Pedestrian Zone,116.230072,39.851955,wan ping cheng P e d e s t r i a n   Z o n e,cheng nei jie yu dong guan nan jie jiao kou wan ping cheng P e d e s t r i a n   Z o n e,lu gou qiao
虹鳟鱼一条沟,61728862,神堂峪,雁栖地区,Other Attractions/Side Trip,116.600988,40.411898,hong zun yu yi tiao gou,yan qi di qu,shen tang yu
国家动物博物馆,64807975;64806899,亚运村,北辰西路1号院5号（近大屯路中国科学院动物研究所）,Museum,116.381432,40.00256,guo jia dong wu bo wu guan,bei chen xi lu 1 hao yuan 5 hao （ jin da tun lu zhong guo ke xue yuan dong wu yan jiu suo ）,ya yun cun
荷花市场,,后海/什刹海,地安门西大街51号,Sightseeing District,116.391289,39.934963,he hua shi chang,di an men xi da jie 51 hao,hou hai / shi cha hai
丫髻山旅游风景区,61972535;61974009,平谷区,刘家店镇北吉山村,Natural Scenery,116.969203,40.27393,ya ji shan lv you feng jing qu,liu jia dian zhen bei ji shan cun,ping gu qu
怀柔水库,51913789,怀柔区,台关路梅苑花园西侧,Modern Building,116.617256,40.322095,huai rou shui ku,tai guan lu mei yuan hua yuan xi ce,huai rou qu
北京人艺戏剧博物馆,85120006,王府井/东单,王府井大街22号首都剧场4层,Museum,116.411835,39.921585,bei jing ren yi xi ju bo wu guan,wang fu jing da jie 22 hao shou du ju chang 4 ceng,wang fu jing / dong dan
北京节水展馆,88159532,航天桥,恩济庄46号C区（近恩济西街）,Exhibition Gallery,116.28466,39.929356,bei jing jie shui zhan guan,en ji zhuang 46 hao C qu （ jin en ji xi jie ）,hang tian qiao
报国寺,63173169,广内大街,广安门内街道广安门内,Religion,116.359535,39.891216,bao guo si,guang an men nei jie dao guang an men nei,guang nei da jie
明北京城城墙遗迹,,复兴门,西二环与宣武门西大街交叉口东北角（宣武门西大街-广安门北滨河路）,Acient Ruins,116.357285,39.900223,ming bei jing cheng cheng qiang yi ji,xi er huan yu xuan wu men xi da jie jiao cha kou dong bei jiao （ xuan wu men xi da jie - guang an men bei bin he lu ）,fu xing men
灵境胡同,87013388,西单,西单北大街,Leisure Block,116.377991,39.914616,ling jing hu tong,xi dan bei da jie,xi dan
观光南瓜园,80532226,通州区,于家务回族乡于家务卫生室西2公里,Park/Square,116.686455,39.717651,guan guang nan gua yuan,yu jia wu hui zu xiang yu jia wu wei sheng shi xi 2 gong li,tong zhou qu
将府公园,64331580;64360177,酒仙桥,东八间房村临甲10号,City Park,116.512343,39.975539,jiang fu gong yuan,dong ba jian fang cun lin jia 10 hao,jiu xian qiao
北京张裕爱斐堡国际酒庄,89092999;89089999,密云区其他,巨各庄镇宁菜路与密三路交汇处东南侧,Other Attractions/Side Trip,116.902296,40.375652,bei jing zhang yu ai fei bao guo ji jiu zhuang,ju ge zhuang zhen ning cai lu yu mi san lu jiao hui chu dong nan ce,mi yun qu qi ta
草场地艺术区,64326910,望京,崔各庄乡草场地（近五元桥）,Creative Industry Center,116.50177,39.998753,cao chang di yi zhu qu,cui ge zhuang xiang cao chang di （ jin wu yuan qiao ）,wang jing
密云石城旅游服务,,桃源仙谷,卫生院西北门旁,Travel Agency,116.82222,40.543934,mi yun shi cheng lv you fu wu,wei sheng yuan xi bei men pang,tao yuan xian gu
柳沟民俗村,61192790;159****6385,柳沟,井庄镇柳果路与西北路交叉口,Countryside Tourism,116.097295,40.446717,liu gou min su cun,jing zhuang zhen liu guo lu yu xi bei lu jiao cha kou,liu gou
北小河公园,64708518,望京,望京西路师家坟156号,City Park,116.455231,40.005207,bei xiao he gong yuan,wang jing xi lu shi jia fen 156 hao,wang jing
碧海公园,,旧宫,庑殿路与宣颐路交叉口西南侧,City Park,116.438797,39.810417,bi hai gong yuan,wu dian lu yu xuan yi lu jiao cha kou xi nan ce,jiu gong
东小口森林公园,,立水桥,天通苑南街道黑泉路与西小口路交叉口东南侧,Forest Park,116.394112,40.048733,dong xiao kou sen lin gong yuan,tian tong yuan nan jie dao hei quan lu yu xi xiao kou lu jiao cha kou dong nan ce,li shui qiao
北京奥林匹克公园,84992008,亚运村,奥运村街道北辰东路15号,City Park,116.392465,40.015175,bei jing ao lin pi ke gong yuan,ao yun cun jie dao bei chen dong lu 15 hao,ya yun cun
